rule,severity,Year,Line_Key,Intitule,detail
major_virement,medium,2024.0,1212006000-301-00-20-33,Redevances d'eau,net virement = +200% of initial credits
major_virement,medium,2021.0,1212006000-301-00-20-34,Redevances d'électricité,net virement = +500% of initial credits
major_virement,medium,2022.0,1212006000-301-00-20-34,Redevances d'électricité,net virement = +90% of initial credits
major_virement,medium,2023.0,1212006000-301-00-20-34,Redevances d'électricité,net virement = +500% of initial credits
major_virement,medium,2024.0,1212006000-301-00-20-34,Redevances d'électricité,net virement = +400% of initial credits
major_virement,medium,2025.0,1212006000-301-00-20-34,Redevances d'électricité,net virement = +85% of initial credits
major_virement,medium,2024.0,1212006000-301-00-20-51,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +97% of initial credits
major_virement,medium,2025.0,1212006000-301-00-20-51,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +105% of initial credits
major_virement,medium,2024.0,1212006000-301-00-20-60,Frais de justice criminelle,net virement = +73% of initial credits
major_virement,medium,2023.0,1212006000-301-00-20-80,Subvention aux associations de droit non gouvernementales,net virement = -98% of initial credits
major_virement,medium,2021.0,1212006000-301-00-30-10,Frais d'assistance judiciaire,net virement = +67% of initial credits
major_virement,medium,2022.0,1212006000-302-00-10-10,Frais d'édition et d'impression et travaux de tirage,net virement = -80% of initial credits
major_virement,medium,2023.0,1212006000-302-00-10-10,Frais d'édition et d'impression et travaux de tirage,net virement = -100% of initial credits
major_virement,medium,2024.0,1212006000-302-00-10-10,Frais d'édition et d'impression et travaux de tirage,net virement = -100% of initial credits
major_virement,medium,2021.0,1212006000-302-00-10-21,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2022.0,1212006000-302-00-10-21,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2024.0,1212006000-302-00-10-22,Taxes postales et frais d'affranchissement,net virement = +600% of initial credits
major_virement,medium,2025.0,1212006000-302-00-10-22,Taxes postales et frais d'affranchissement,net virement = +150% of initial credits
major_virement,medium,2024.0,1212006000-302-00-10-41,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +97% of initial credits
major_virement,medium,2025.0,1212006000-302-00-10-41,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +105% of initial credits
major_virement,medium,2025.0,1212006000-302-00-10-50,Frais protocolaires et d'organisation de manifestation,net virement = -59% of initial credits
major_virement,medium,2021.0,1212006000-302-00-10-60,Cotisations aux organismes internationaux,net virement = +130% of initial credits
major_virement,medium,2023.0,1212006000-302-00-10-60,Cotisations aux organismes internationaux,net virement = +122% of initial credits
major_virement,medium,2021.0,1212006000-302-00-20-11,Taxes et redevances de télécommunications,net virement = -100% of initial credits
