Year,Line_Key,Chap,Prog,Reg,Proj,Lb,Depth,Level,Intitule,Credits_Ouverts_Vises,Total_Engage_Vises,Credits_Ouverts,Virements_Plus,Virements_Moins,Total_Credits,Total_Engage
2021,1212006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,149428000,140426330.01,4717208000.0,10000.0,10000.0,4809208000.0,4781379728.76
2022,1212006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,145428000,144510683.07,5020563000.0,14000000.0,14000000.0,5020563000.0,5014150298.43
2023,1212006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,180628000,179937665.98,3175472000.0,12000000.0,12000000.0,3175472000.0,3071724920.04
2024,1212006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,145728000,175603145.93,3179307000.0,9500000.0,9500000.0,3179307000.0,3171460390.71
2025,1212006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,169649000,158019117.46,3419812000.0,6000000.0,6000000.0,3419812000.0,3417594788.2
2026,1212006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,174649000,83759088.4,4120912000.0,0.0,0.0,4120912000.0,3976225539.57
2021,1212006000-300-00-10,,,,10.0,,4,Projet,Infrastructure,73175000,60374070.34,73175000.0,41420335.0,52840094.0,61755241.0,60374070.34
2022,1212006000-300-00-10,,,,10.0,,4,Projet,Infrastructure,70824000,50285438.33,70824000.0,32289911.0,51575625.0,51538286.0,50285438.33
2023,1212006000-300-00-10,,,,10.0,,4,Projet,Infrastructure,97424000,69211575.57,97424000.0,35442765.0,62878894.0,69987871.0,69211575.57
2024,1212006000-300-00-10,,,,10.0,,4,Projet,Infrastructure,90924000,51092135.94,90924000.0,30617800.0,69409860.0,52131940.0,51092135.94
2025,1212006000-300-00-10,,,,10.0,,4,Projet,Infrastructure,95174000,69550150.71,95174000.0,24284000.0,49063000.0,70395000.0,69550150.71
